case_type,jurisdiction,location,complexity,duration_months,lawyer_level,legal_fees,court_fees,filing_admin_fees,miscellaneous_fees
Civil,District Court,"Mumbai, Maharashtra",Medium,12,Mid-Senior,450000,50000,25000,30000
Criminal,High Court,"Delhi, Delhi",High,24,Senior Counsel,850000,120000,45000,55000
Corporate,Supreme Court,"Mumbai, Maharashtra",High,36,Top Tier Firm,2500000,200000,80000,120000
Family / Matrimonial,District Court,"Bangalore, Karnataka",Low,8,Junior Associate,150000,25000,15000,18000
Property Dispute,High Court,"Chennai, Tamil Nadu",Medium,18,Mid-Senior,550000,75000,35000,42000
Consumer,Consumer Forum,"Pune, Maharashtra",Low,6,Junior Associate,80000,15000,10000,12000
Civil,District Court,"Kolkata, West Bengal",Low,10,Junior Associate,200000,30000,18000,22000
Criminal,District Court,"Hyderabad, Telangana",Medium,15,Mid-Senior,400000,45000,28000,32000
Corporate,High Court,"Mumbai, Maharashtra",High,30,Top Tier Firm,1800000,150000,65000,95000
Family / Matrimonial,District Court,"Ahmedabad, Gujarat",Medium,12,Mid-Senior,280000,35000,22000,28000
Property Dispute,District Court,"Jaipur, Rajasthan",High,20,Senior Counsel,680000,65000,38000,48000
Consumer,Tribunal,"Lucknow, Uttar Pradesh",Low,4,Junior Associate,60000,12000,8000,10000
Civil,High Court,"Delhi, Delhi",High,28,Senior Counsel,920000,110000,48000,62000
Criminal,Supreme Court,"Delhi, Delhi",High,40,Top Tier Firm,3200000,250000,95000,135000
Corporate,District Court,"Bangalore, Karnataka",Medium,14,Mid-Senior,520000,55000,32000,38000
Family / Matrimonial,High Court,"Mumbai, Maharashtra",High,22,Senior Counsel,750000,95000,42000,56000
Property Dispute,District Court,"Surat, Gujarat",Low,9,Junior Associate,180000,28000,16000,20000
Consumer,Consumer Forum,"Nagpur, Maharashtra",Medium,7,Mid-Senior,120000,18000,12000,15000
Civil,District Court,"Indore, Madhya Pradesh",Medium,13,Mid-Senior,380000,48000,26000,32000
Criminal,High Court,"Bangalore, Karnataka",Medium,19,Mid-Senior,580000,82000,38000,45000
Corporate,High Court,"Delhi, Delhi",Medium,20,Senior Counsel,1200000,130000,55000,75000
Family / Matrimonial,District Court,"Chandigarh, Punjab",Low,7,Junior Associate,140000,22000,14000,17000
Property Dispute,High Court,"Mumbai, Maharashtra",High,25,Senior Counsel,980000,125000,52000,68000
Consumer,Consumer Forum,"Bhopal, Madhya Pradesh",Low,5,Junior Associate,70000,13000,9000,11000
Civil,District Court,"Visakhapatnam, Andhra Pradesh",Low,11,Junior Associate,220000,32000,19000,24000
Criminal,District Court,"Patna, Bihar",High,18,Mid-Senior,520000,58000,32000,40000
Corporate,Supreme Court,"Delhi, Delhi",High,42,Top Tier Firm,3500000,280000,105000,145000
Family / Matrimonial,District Court,"Kochi, Kerala",Medium,10,Mid-Senior,240000,32000,20000,25000
Property Dispute,Tribunal,"Coimbatore, Tamil Nadu",Low,6,Junior Associate,110000,18000,12000,15000
Consumer,Consumer Forum,"Ranchi, Jharkhand",Low,4,Junior Associate,55000,11000,7000,9000
Civil,High Court,"Chennai, Tamil Nadu",Medium,21,Mid-Senior,720000,95000,42000,52000
Criminal,High Court,"Mumbai, Maharashtra",High,26,Senior Counsel,1100000,135000,58000,72000
Corporate,District Court,"Pune, Maharashtra",Low,8,Junior Associate,280000,38000,22000,28000
Family / Matrimonial,High Court,"Delhi, Delhi",Medium,16,Mid-Senior,620000,85000,38000,48000
Property Dispute,District Court,"Gurgaon, Haryana",Medium,15,Mid-Senior,480000,52000,30000,38000
Consumer,Tribunal,"Varanasi, Uttar Pradesh",Medium,8,Mid-Senior,95000,16000,11000,14000
Civil,District Court,"Ludhiana, Punjab",High,16,Senior Counsel,580000,68000,35000,45000
Criminal,District Court,"Guwahati, Assam",Low,11,Junior Associate,280000,38000,22000,28000
Corporate,High Court,"Bangalore, Karnataka",High,32,Top Tier Firm,2200000,175000,72000,105000
Family / Matrimonial,District Court,"Mysore, Karnataka",Low,6,Junior Associate,125000,20000,13000,16000
Property Dispute,High Court,"Delhi, Delhi",High,27,Top Tier Firm,1350000,145000,62000,82000
Consumer,Consumer Forum,"Dehradun, Uttarakhand",Low,5,Junior Associate,65000,12000,8000,10000
Civil,District Court,"Nashik, Maharashtra",Medium,12,Mid-Senior,340000,45000,24000,30000
Criminal,Supreme Court,"Delhi, Delhi",High,38,Top Tier Firm,2900000,235000,90000,125000
Corporate,District Court,"Noida, Uttar Pradesh",Medium,16,Mid-Senior,640000,65000,35000,42000
Family / Matrimonial,District Court,"Vadodara, Gujarat",Low,8,Junior Associate,160000,24000,15000,19000
Property Dispute,District Court,"Thane, Maharashtra",Medium,14,Mid-Senior,420000,48000,28000,35000
Consumer,Consumer Forum,"Shimla, Himachal Pradesh",Low,4,Junior Associate,58000,11000,7000,9000
Civil,High Court,"Kolkata, West Bengal",High,24,Senior Counsel,880000,115000,50000,65000
Criminal,High Court,"Chennai, Tamil Nadu",Medium,20,Mid-Senior,650000,88000,40000,50000
Corporate,High Court,"Mumbai, Maharashtra",Medium,22,Senior Counsel,1450000,140000,60000,80000
Family / Matrimonial,High Court,"Bangalore, Karnataka",High,20,Senior Counsel,720000,92000,40000,54000
Property Dispute,District Court,"Faridabad, Haryana",Low,10,Junior Associate,195000,28000,17000,21000
